v8-version,8,5,210,20,0
code-creation,Builtin,3,2792,0x1097b2440,209,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2799,0x1097b2520,209,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2805,0x1097b2600,173,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2813,0x1097b26c0,173,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2820,0x1097b2780,173,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2827,0x1097b2840,173,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2835,0x1097b2900,185,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2842,0x1097b29c0,185,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2850,0x1097b2a80,553,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2857,0x1097b2cc0,513,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2864,0x1097b2ee0,477,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2871,0x1097b30c0,441,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2879,0x1097b3280,477,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2886,0x1097b3460,441,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2894,0x1097b3620,485,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2902,0x1097b3820,445,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2909,0x1097b39e0,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,2915,0x1097b3a40,12,ArrayConcat
code-creation,Builtin,3,2927,0x1097b3a60,12,ArrayPrototypeFill
code-creation,Builtin,3,2932,0x1097b3a80,998,ArrayIncludesSmiOrObject
code-creation,Builtin,3,2938,0x1097b3e80,160,ArrayIncludesPackedDoubles
code-creation,Builtin,3,2944,0x1097b3f40,236,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,2949,0x1097b4040,577,ArrayIncludes
code-creation,Builtin,3,2954,0x1097b42a0,902,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,2960,0x1097b4640,116,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,2966,0x1097b46c0,116,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,2971,0x1097b4740,577,ArrayIndexOf
code-creation,Builtin,3,2976,0x1097b49a0,12,ArrayPop
code-creation,Builtin,3,2981,0x1097b49c0,718,ArrayPrototypePop
code-creation,Builtin,3,2986,0x1097b4ca0,12,ArrayPush
code-creation,Builtin,3,2991,0x1097b4cc0,2862,ArrayPrototypePush
code-creation,Builtin,3,2997,0x1097b5800,12,ArrayShift
code-creation,Builtin,3,3002,0x1097b5820,12,ArrayUnshift
code-creation,Builtin,3,3007,0x1097b5840,1102,CloneFastJSArray
code-creation,Builtin,3,3012,0x1097b5ca0,2604,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,3018,0x1097b66e0,1086,ExtractFastJSArray
code-creation,Builtin,3,3023,0x1097b6b20,279,ArrayPrototypeEntries
code-creation,Builtin,3,3029,0x1097b6c40,275,ArrayPrototypeKeys
code-creation,Builtin,3,3034,0x1097b6d60,279,ArrayPrototypeValues
code-creation,Builtin,3,3072,0x1097b6e80,4582,ArrayIteratorPrototypeNext
code-creation,Builtin,3,3087,0x1097b8080,4206,FlattenIntoArray
code-creation,Builtin,3,3093,0x1097b9100,4130,FlatMapIntoArray
code-creation,Builtin,3,3099,0x1097ba140,520,ArrayPrototypeFlat
code-creation,Builtin,3,3104,0x1097ba360,560,ArrayPrototypeFlatMap
code-creation,Builtin,3,3110,0x1097ba5a0,12,ArrayBufferConstructor
code-creation,Builtin,3,3116,0x1097ba5c0,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,3122,0x1097ba5e0,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,3128,0x1097ba600,12,ArrayBufferIsView
code-creation,Builtin,3,3134,0x1097ba620,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,3140,0x1097ba640,608,AsyncFunctionEnter
code-creation,Builtin,3,3145,0x1097ba8c0,165,AsyncFunctionReject
code-creation,Builtin,3,3150,0x1097ba980,157,AsyncFunctionResolve
code-creation,Builtin,3,3156,0x1097baa20,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,3162,0x1097baa40,1306,AsyncFunctionAwaitCaught
code-creation,Builtin,3,3168,0x1097baf60,1306,AsyncFunctionAwaitUncaught
